time/steps_per_sec,time/update_time,step
0.11839180483241223,0.0,1
3.3376787386812428,0.0,2
3.8754548293685334,0.0,3
4.422477293479797,0.0,4
3.743463693533042,0.0,5
0.6897176375018705,0.0,6
4.458477721982932,0.0,7
4.4556501601431995,0.0,8
4.547755562302121,0.0,9
4.467986015386484,0.0,10
0.6301368998640211,0.0,11
4.494091351804846,0.0,12
4.461864145339424,0.0,13
4.516614098697126,0.0,14
4.538420670499266,0.0,15
0.8239777836800574,0.0,16
4.225879773668853,0.0,17
4.508394852590258,0.0,18
4.519792324453171,0.0,19
4.528718133102703,0.0,20
0.7596908351229934,0.0,21
4.519354018420906,0.0,22
4.51385806807102,0.0,23
4.4245206589251955,0.0,24
4.540277701101647,0.0,25
0.9096653285824802,0.0,26
4.506099015262042,0.0,27
4.50409570241189,0.0,28
3.3912959811123193,0.0,29
3.4911425130242475,0.0,30
0.811800093328954,0.0,31
4.341812746240785,0.0,32
4.560587592490907,0.0,33
3.915091424853708,0.0,34
4.16291974801968,0.0,35
0.7765095666302075,0.0,36
4.374598711286982,0.0,37
3.9405114213937162,0.0,38
3.740412432179841,0.0,39
4.4577195645057754,0.0,40
0.7913919998973566,0.0,41
4.4951365162108985,0.0,42
3.646031946104531,0.0,43
4.470362282000369,0.0,44
4.520542512006484,0.0,45
0.8640967454508933,0.0,46
4.51784981446275,0.0,47
4.476794190195528,0.0,48
4.377132445099355,0.0,49
4.504337553830128,0.0,50
0.7601641937143654,0.0,51
3.9233239388664343,0.0,52
3.6062476248123496,0.0,53
2.6849834905328223,0.0,54
3.555287322513408,0.0,55
0.8146570142440049,0.0,56
4.501200340409457,0.0,57
4.509029768834908,0.0,58
4.53628058441748,0.0,59
3.411226301462557,0.0,60
0.7399662364153087,0.0,61
4.507198206707867,0.0,62
4.568490808130758,0.0,63
3.351073400286027,0.0,64
4.468290645820416,0.0,65
0.7112032333832304,0.0,66
4.48133340456221,0.0,67
4.5007366551670485,0.0,68
4.587403164575652,0.0,69
4.409361803228882,0.0,70
0.8645247354877965,0.0,71
4.553962278900744,0.0,72
4.248515052064341,0.0,73
4.478003429257158,0.0,74
3.4678400576773933,0.0,75
0.8354293574571804,0.0,76
4.574145627012768,0.0,77
4.564111102043037,0.0,78
4.595419813873788,0.0,79
4.617080860207478,0.0,80
0.8146491028049945,0.0,81
3.1583566892218538,0.0,82
3.519148350634139,0.0,83
3.4930061660331853,0.0,84
3.334839229305658,0.0,85
0.7314553581238152,0.0,86
4.419620681988453,0.0,87
4.550558091898554,0.0,88
4.5110762880211315,0.0,89
